x,y,\sigma_y
-4.000000000000000000e+00,-2.661299401028373524e+01,-6.129940102837361238e-01
-3.836734693877550839e+00,-2.086903722595657484e+01,-6.209943186645485724e-01
-3.673469387755102122e+00,-1.698719760806932655e+01,-1.930801038612724341e+00
-3.510204081632652962e+00,-8.520624570692598709e+00,1.878324846642014379e+00
-3.346938775510204245e+00,-8.770969967858690097e+00,-2.521380086091735251e+00
-3.183673469387755084e+00,-4.988859590909816788e+00,-2.406653197315308912e+00
-3.020408163265305923e+00,-9.173967984175526169e-01,-1.546709414759387613e+00
-2.857142857142857206e+00,8.943289266258114267e-01,-2.516749790575352641e+00
-2.693877551020408490e+00,5.126502559321298058e+00,-6.627009188213088819e-01
-2.530612244897959329e+00,9.324889987794165336e+00,1.535091519468895882e+00
-2.367346938775510168e+00,9.669406781149968211e+00,2.304315242417072085e-01
-2.204081632653061451e+00,8.136831169998124835e+00,-2.626014243052558594e+00
-2.040816326530612290e+00,9.257893716398493567e+00,-2.529626789513159668e+00
-1.877551020408163573e+00,1.081582859433200383e+01,-1.723283510318267320e+00
-1.714285714285714413e+00,1.501409381208933880e+01,1.970362033663682233e+00
-1.551020408163265696e+00,1.431817878605105321e+01,9.906876896541438882e-01
-1.387755102040816535e+00,1.095015227095725763e+01,-2.466349356765886291e+00
-1.224489795918367374e+00,1.377810713625054362e+01,4.412321946870783052e-01
-1.061224489795918657e+00,1.154289678650978068e+01,-1.571825820567203769e+00
-8.979591836734694965e-01,1.046504981436137172e+01,-2.311106379061436122e+00
-7.346938775510207797e-01,1.336463235494443325e+01,1.017345085184383713e+00
-5.714285714285716189e-01,1.188678237005206739e+01,3.255496480425312811e-02
-4.081632653061229021e-01,1.114792096525625453e+01,-1.751672037889573375e-01
-2.448979591836737413e-01,1.172437535872604997e+01,9.443942284146986665e-01
-8.163265306122458043e-02,8.632941084028278311e+00,-1.618076774177062083e+00
8.163265306122458043e-02,9.315205928151279124e+00,-4.471039937350087534e-01
2.448979591836728531e-01,1.030838554574143018e+01,9.684166552281228135e-01
4.081632653061220140e-01,7.464406886253650342e+00,-1.545699446991852355e+00
5.714285714285711748e-01,5.851444092744378267e+00,-2.947389726497604556e+00
7.346938775510203357e-01,1.130846449791436115e+01,2.576201580252503121e+00
8.979591836734686083e-01,9.247379670433623744e+00,4.108744727693851573e-01
1.061224489795917769e+00,8.167011599564260038e+00,-9.706606288439689756e-01
1.224489795918366930e+00,1.095106355947729604e+01,1.289187980424353341e+00
1.387755102040816091e+00,8.261484374796378205e+00,-2.173742443961111270e+00
1.551020408163265252e+00,1.395496422481429910e+01,2.471126708133324357e+00
1.714285714285713524e+00,1.263150951455794591e+01,-2.023097274245535537e-01
1.877551020408162685e+00,1.564731245769997869e+01,1.136028893878789248e+00
2.040816326530611846e+00,1.856166636052855878e+01,2.019324309172410459e+00
2.204081632653061007e+00,1.982404548754253781e+01,8.709392137960598745e-01
2.367346938775509280e+00,1.983784154386907872e+01,-1.931846256282201635e+00
2.530612244897958441e+00,2.603851402654811409e+01,1.020315826818427141e+00
2.693877551020407601e+00,2.768596253669799268e+01,-1.038786504942804445e+00
2.857142857142856762e+00,3.462992416745669999e+01,1.714472272412973730e+00
3.020408163265305923e+00,3.650789490094427236e+01,-1.108523428153287860e+00
3.183673469387754196e+00,4.034027542481863549e+01,-2.513484488142771589e+00
3.346938775510203357e+00,4.719825093140274674e+01,-1.455337284391670316e+00
3.510204081632652517e+00,5.609332134560183647e+01,1.051306538846167093e+00
3.673469387755101678e+00,6.026923953468580919e+01,-1.775911720318477993e+00
3.836734693877550839e+00,7.246410228989095970e+01,2.774993160191616681e+00
4.000000000000000000e+00,7.726619527464208659e+01,-7.338047253579116358e-01
