x,y,\sigma_y
-4.000000000000000000e+00,9.473994893694607455e+00,4.739948936946074554e-01
-3.836734693877550839e+00,8.659273467607082608e+00,7.754750502809688584e-01
-3.673469387755102122e+00,6.527255600293816684e+00,-2.936523547249263455e-01
-3.510204081632652962e+00,6.643526326374201041e+00,8.321977132963176427e-01
-3.346938775510204245e+00,5.317707147638815357e+00,4.626467561352738400e-01
-3.183673469387755084e+00,4.694482866309393820e+00,7.423795760136844279e-01
-3.020408163265305923e+00,2.532267467938860150e+00,-5.701898415155326472e-01
-2.857142857142857206e+00,3.185899465214247606e+00,8.797770162346560952e-01
-2.693877551020408490e+00,2.347787290626195400e+00,7.846885817548907571e-01
-2.530612244897959329e+00,1.124506060779526084e+00,2.511199716499965540e-01
-2.367346938775510168e+00,1.042023322289677090e+00,8.050387325354080303e-01
-2.204081632653061451e+00,4.525024383270794814e-01,7.986082275815555853e-01
-2.040816326530612290e+00,-1.117467883463720169e+00,-2.415828355670106564e-01
-1.877551020408163573e+00,-2.290716193846352056e+00,-9.383630076739246650e-01
-1.714285714285714413e+00,-8.175107783234696335e-01,9.579994257581625483e-01
-1.551020408163265696e+00,-1.187932975998185370e+00,9.574231256261369616e-01
-1.387755102040816535e+00,-3.173772049223764213e+00,-7.118811704232648196e-01
-1.224489795918367374e+00,-3.293282418651997112e+00,-5.681678830418348536e-01
-1.061224489795918657e+00,-3.759206610475969157e+00,-8.241795384226582311e-01
-8.979591836734694965e-01,-2.202138556785028012e+00,8.894899313449178280e-01
-7.346938775510207797e-01,-2.974162337898810904e+00,2.207564459412558744e-01
-5.714285714285716189e-01,-3.849524274044934913e+00,-6.046263148612613936e-01
-4.081632653061229021e-01,-3.007777940354213975e+00,2.337880738065523101e-01
-2.448979591836737413e-01,-2.736303846437405873e+00,4.486191023339392014e-01
-8.163265306122458043e-02,-2.095924612386109054e+00,9.790441506293008356e-01
8.163265306122458043e-02,-3.237055269492035148e+00,-3.253518125990741972e-01
2.448979591836728531e-01,-2.499025347307132439e+00,1.961016830968667080e-01
4.081632653061220140e-01,-2.493289052598838484e+00,-6.804956905031600556e-02
5.714285714285711748e-01,-1.850126104878554667e+00,2.519147114479767247e-01
7.346938775510203357e-01,-1.195832715824613146e+00,5.296983129134127388e-01
8.979591836734686083e-01,-3.211788173165659455e-01,9.745313034664433438e-01
1.061224489795917769e+00,-1.145049792445286485e+00,-3.324716999838104314e-01
1.224489795918366930e+00,-7.003219054665763554e-01,-4.241869616931472908e-01
1.387755102040816091e+00,1.201392326358526219e+00,8.877730010773943192e-01
1.551020408163265252e+00,1.162624660307179258e+00,2.059399456049719745e-01
1.714285714285713524e+00,1.334854869210898132e+00,-3.182063552788949590e-01
1.877551020408162685e+00,2.804604821035996842e+00,4.018559663921008607e-01
2.040816326530611846e+00,3.463605447084199263e+00,2.578578419196864147e-01
2.204081632653061007e+00,4.680237049165673291e+00,6.181795731140298233e-01
2.367346938775509280e+00,5.081817174846886331e+00,1.101387075416020433e-01
2.530612244897958441e+00,6.239785373669062274e+00,3.051747947436183050e-01
2.693877551020407601e+00,6.062026383770260374e+00,-8.888274271418563632e-01
2.857142857142856762e+00,8.331486085681957476e+00,3.110779224166519974e-01
3.020408163265305923e+00,9.142593571685738496e+00,-6.800642992654815089e-04
3.183673469387754196e+00,9.931880834897148347e+00,-3.875693941740647741e-01
3.346938775510203357e+00,1.153207178731124216e+01,-1.686615521270051765e-02
3.510204081632652517e+00,1.193744044016691674e+01,-8.942963361762705787e-01
3.673469387755101678e+00,1.474408288820720614e+01,5.762361576782637496e-01
3.836734693877550839e+00,1.511588093739060845e+01,-4.413868676906080868e-01
4.000000000000000000e+00,1.744892647553793097e+01,4.489264755379303029e-01
