x,y,\sigma_y
1.000000000000000021e-02,-5.061511387008309271e+01,2.524792071015675710e-01
6.020100502512563262e-02,-4.326099874451805505e+01,4.261785168629983467e-01
1.104020100502512564e-01,-4.098439865586462361e+01,2.770214306795636405e-01
1.606030150753768870e-01,-3.954995091726670609e+01,2.122402312712572403e-01
2.108040201005025316e-01,-3.864344589302736210e+01,3.077200745003749738e-02
2.610050251256281761e-01,-3.785667106648324420e+01,-3.689625929139628280e-02
3.112060301507537652e-01,-3.747654483552710047e+01,-3.604320631967180555e-01
3.614070351758794097e-01,-3.687749119358617378e+01,-3.595771221093693182e-01
4.116080402010050543e-01,-3.600433590177232190e+01,-6.688603752106003775e-03
4.618090452261306988e-01,-3.558170983101711471e+01,-4.438231633341993554e-02
5.120100502512563434e-01,-3.526115367404290879e+01,-1.365972418574229463e-01
5.622110552763819324e-01,-3.516595483922830567e+01,-4.155306804330760606e-01
6.124120603015075215e-01,-3.460816823185234625e+01,-1.998562110637251976e-01
6.626130653266332216e-01,-3.375406042194216383e+01,3.391081954474857163e-01
7.128140703517588106e-01,-3.385726267176148241e+01,-5.621168465066128661e-02
7.630150753768845107e-01,-3.329251774137561881e+01,2.363045513081722948e-01
8.132160804020100997e-01,-3.318734616317148323e+01,8.659986284360787767e-02
8.634170854271356887e-01,-3.282005492154559079e+01,2.142870417450323250e-01
9.136180904522613888e-01,-3.291849670913801162e+01,-1.102138199324752543e-01
9.638190954773869779e-01,-3.226320190660291587e+01,3.311170757299932710e-01
1.014020100502512678e+00,-3.260484507765519879e+01,-2.136236562361122360e-01
1.064221105527638267e+00,-3.245256698144326890e+01,-2.546273493222400708e-01
1.114422110552763856e+00,-3.155928277215076605e+01,4.542856248597434421e-01
1.164623115577889445e+00,-3.142814214799592065e+01,4.091800702899633935e-01
1.214824120603015034e+00,-3.130106657560790850e+01,3.674485191887377766e-01
1.265025125628140845e+00,-3.117101301034025695e+01,3.355313863365708693e-01
1.315226130653266434e+00,-3.146433298910697829e+01,-1.134551091540594303e-01
1.365427135678392023e+00,-3.070834447872590900e+01,4.926986561119478525e-01
1.415628140703517612e+00,-3.119557624701248955e+01,-1.389573069214445900e-01
1.465829145728643201e+00,-3.047830797227650734e+01,4.389201523590543497e-01
1.516030150753769012e+00,-3.046836515362583597e+01,3.141664780767945420e-01
1.566231155778894601e+00,-3.109522462954059918e+01,-4.430010792270211439e-01
1.616432160804020191e+00,-3.066454276980885751e+01,-1.385158389245342292e-01
1.666633165829145780e+00,-3.075091152798791683e+01,-3.472212870014654840e-01
1.716834170854271369e+00,-3.023025092153336146e+01,5.473342568974959299e-02
1.767035175879397180e+00,-2.973041191042105780e+01,4.392880217772957563e-01
1.817236180904522769e+00,-2.996886966831820587e+01,8.877560509838089420e-02
1.867437185929648358e+00,-3.025303747809878274e+01,-3.043931531869535911e-01
1.917638190954773947e+00,-2.935864508861132549e+01,4.838899647929015835e-01
1.967839195979899536e+00,-2.945123206342016431e+01,2.879359260846735546e-01
2.018040201005025125e+00,-2.928870985283458594e+01,3.496951086193060831e-01
2.068241206030150714e+00,-2.974906258582695173e+01,-2.089446013543018177e-01
2.118442211055276303e+00,-2.975855912215591204e+01,-3.143708388259756070e-01
2.168643216080401892e+00,-2.969466911399313247e+01,-3.441636845954305635e-01
2.218844221105527481e+00,-2.898107362955446575e+01,2.778929469165511978e-01
2.269045226130653070e+00,-2.929108110676827792e+01,-1.216053246773211027e-01
2.319246231155778659e+00,-2.867570607601579624e+01,4.062373271254116069e-01
2.369447236180904248e+00,-2.913478272307294148e+01,-1.384971669002161843e-01
2.419648241206029837e+00,-2.894674308793548789e+01,-3.431945362323751691e-02
2.469849246231155870e+00,-2.893938499351325078e+01,-1.091011197318733084e-01
