x,y,\sigma_y
-4.000000000000000000e+00,5.199345148540373884e+01,3.953014522595017510e-01
-3.836734693877550839e+00,4.096276983362926671e+01,-2.411032452391518976e+00
-3.673469387755102122e+00,3.628585891432868493e+01,-1.024635317148363534e-01
-3.510204081632652962e+00,2.761413352305577007e+01,-2.840961134583971592e+00
-3.346938775510204245e+00,2.694263968458214720e+01,1.527025892325776013e+00
-3.183673469387755084e+00,1.924247953818632695e+01,-1.892771473763304568e+00
-3.020408163265305923e+00,1.982090585232968749e+01,2.321248668483903543e+00
-2.857142857142857206e+00,1.269850729123356636e+01,-1.713200772094084501e+00
-2.693877551020408490e+00,1.421066918231085019e+01,2.421759545253484802e+00
-2.530612244897959329e+00,8.018723051219778242e+00,-1.542471258814433144e+00
-2.367346938775510168e+00,5.571952925335136086e+00,-2.097096136880310269e+00
-2.204081632653061451e+00,7.195689740117432898e+00,1.133764171381419494e+00
-2.040816326530612290e+00,6.480390109596241288e+00,1.783500299225510233e+00
-1.877551020408163573e+00,6.105506651420186337e+00,2.568031552598325717e+00
-1.714285714285714413e+00,-4.352305525095414573e-01,-2.987938428115379796e+00
-1.551020408163265696e+00,5.912824093220492294e-02,-1.657152017997048477e+00
-1.387755102040816535e+00,-1.550243214456419771e+00,-2.556090447746876215e+00
-1.224489795918367374e+00,-1.467001924477608910e-01,-5.491298987994239766e-01
-1.061224489795918657e+00,-1.312716514208765783e+00,-1.202624000060430465e+00
-8.979591836734694965e-01,1.456374307683823144e+00,2.001785676156545790e+00
-7.346938775510207797e-01,-1.916054723314358776e+00,-1.000898400670821919e+00
-5.714285714285716189e-01,-3.643670120744365803e+00,-2.414465073179521415e+00
-4.081632653061229021e-01,-2.602789912319647403e+00,-1.106842613069779491e+00
-2.448979591836737413e-01,9.013850889285341950e-01,2.623894138594122794e+00
-8.163265306122458043e-02,-1.413007524200353027e+00,5.019353316102304063e-01
8.163265306122458043e-02,-3.738558752564633991e+00,-1.660169199862358669e+00
2.448979591836728531e-01,-2.593486364971858471e+00,-3.762707750987788202e-01
4.081632653061220140e-01,-2.948482533117456672e+00,-6.133528528218530340e-01
5.714285714285711748e-01,-3.105984862464917562e+00,-6.707029844726770662e-01
7.346938775510203357e-01,-2.700664960052908015e+00,-1.803172288829522074e-01
8.979591836734686083e-01,-2.286878901674969544e+00,3.057208573413556785e-01
1.061224489795917769e+00,-3.501043563346265763e+00,-8.470754016994916924e-01
1.224489795918366930e+00,-4.628781937550130898e+00,-1.922689552491652965e+00
1.387755102040816091e+00,-2.316901179326733562e-01,2.518674800706875772e+00
1.551020408163265252e+00,-4.222580235616875122e-01,2.365710471714495888e+00
1.714285714285713524e+00,-4.918366266596931879e+00,-2.098458578744883951e+00
1.877551020408162685e+00,-7.622289245644058298e-01,2.084806821670373012e+00
2.040816326530611846e+00,-4.456888932879778942e+00,-1.586811541184838248e+00
2.204081632653061007e+00,-1.777923906579266244e+00,1.111724271127021879e+00
2.367346938775509280e+00,-2.063107229802264353e+00,8.431637045454358770e-01
2.530612244897958441e+00,-3.154692085997601758e+00,-2.343023503815526709e-01
2.693877551020407601e+00,-8.382725518794345021e-01,2.094109210904871787e+00
2.857142857142856762e+00,-5.477682823698657444e+00,-2.535115442966275001e+00
3.020408163265305923e+00,-1.210602995988353303e+00,1.740615700449749781e+00
3.183673469387754196e+00,-4.852534653602003978e+00,-1.893967825335120869e+00
3.346938775510203357e+00,-5.387757239830555100e-01,2.426032356274830271e+00
3.510204081632652517e+00,-4.624953092678845579e+00,-1.654843906327212899e+00
3.673469387755101678e+00,-5.619309476249368274e+00,-2.644697711591704969e+00
3.836734693877550839e+00,-2.350323435180969867e+00,6.281126655762578892e-01
4.000000000000000000e+00,-3.239834423644795791e+00,-2.581500625335300114e-01
