# header 13
#--------------------------------------
# x=[-10 10] dx=0.5
# y=[-10 10] dy=0.5
# z associate to each x_i y_i
# T associate to each x_i y_i
#
# x1 y1 z1 = xmin       ymin   z1
# x2 y2 z2 = xmin+1*dx  ymin   z2
# x3 y3 z3 = xmin+2*dx  ymin   z3
# ...
#--------------------------------------
# x		 y			z			   T
 -10.00 	-10.00 	0.018112 	29.999946
 -9.50 	-10.00 	0.029491 	29.999912
 -9.00 	-10.00 	0.046832 	29.999860
 -8.50 	-10.00 	0.072535 	29.999782
 -8.00 	-10.00 	0.109571 	29.999671
 -7.50 	-10.00 	0.161430 	29.999516
 -7.00 	-10.00 	0.231962 	29.999304
 -6.50 	-10.00 	0.325080 	29.999025
 -6.00 	-10.00 	0.444332 	29.998667
 -5.50 	-10.00 	0.592335 	29.998223
 -5.00 	-10.00 	0.770140 	29.997690
 -4.50 	-10.00 	0.976595 	29.997070
 -4.00 	-10.00 	1.207820 	29.996377
 -3.50 	-10.00 	1.456909 	29.995630
 -3.00 	-10.00 	1.713978 	29.994859
 -2.50 	-10.00 	1.966621 	29.994101
 -2.00 	-10.00 	2.200791 	29.993398
 -1.50 	-10.00 	2.402036 	29.992795
 -1.00 	-10.00 	2.556954 	29.992330
 -0.50 	-10.00 	2.654660 	29.992037
 0.00 	-10.00 	2.688052 	29.991937
 0.50 	-10.00 	2.654660 	29.992037
 1.00 	-10.00 	2.556954 	29.992330
 1.50 	-10.00 	2.402036 	29.992795
 2.00 	-10.00 	2.200791 	29.993398
 2.50 	-10.00 	1.966621 	29.994101
 3.00 	-10.00 	1.713978 	29.994859
 3.50 	-10.00 	1.456909 	29.995630
 4.00 	-10.00 	1.207820 	29.996377
 4.50 	-10.00 	0.976595 	29.997070
 5.00 	-10.00 	0.770140 	29.997690
 5.50 	-10.00 	0.592335 	29.998223
 6.00 	-10.00 	0.444332 	29.998667
 6.50 	-10.00 	0.325080 	29.999025
 7.00 	-10.00 	0.231962 	29.999304
 7.50 	-10.00 	0.161430 	29.999516
 8.00 	-10.00 	0.109571 	29.999671
 8.50 	-10.00 	0.072535 	29.999782
 9.00 	-10.00 	0.046832 	29.999860
 9.50 	-10.00 	0.029491 	29.999912
 10.00 	-10.00 	0.018112 	29.999946
 -10.00 	-9.50 	0.029491 	29.999912
 -9.50 	-9.50 	0.048018 	29.999856
 -9.00 	-9.50 	0.076254 	29.999771
 -8.50 	-9.50 	0.118105 	29.999646
